date,Model,CSPE
2012-02-01,DMSPE(1),0.02099725654196355
2012-02-01,DMSPE(0.9),0.022573415630965356
2012-03-01,Elastic Net,0.10380927407725696
2012-03-01,Lasso,0.1053181731483863
2012-03-01,Ridge,0.07205163415748837
2012-03-01,PC,0.04188807826650754
2012-03-01,PLS,0.03645143393182003
2012-03-01,Mean,0.01820219818201473
2012-03-01,Median,0.0021422437704925186
2012-03-01,Trimmed mean,0.010837229839962936
2012-03-01,DMSPE(1),0.02099487004194957
2012-03-01,DMSPE(0.9),0.022547523299834782
2012-04-01,Elastic Net,0.1010279851302847
2012-04-01,Lasso,0.10317646446821349
2012-04-01,Ridge,0.0659540632795085
2012-04-01,PC,0.041379949642979676
2012-04-01,PLS,0.03486779328604464
2012-04-01,Mean,0.017973088728012166
2012-04-01,Median,0.0018231470614417271
2012-04-01,Trimmed mean,0.01049657925541189
2012-04-01,DMSPE(1),0.020759663575859746
2012-04-01,DMSPE(0.9),0.02235570149174408
2012-05-01,Elastic Net,0.10579151831644368
2012-05-01,Lasso,0.10837388169446695
2012-05-01,Ridge,0.07096418478584719
2012-05-01,PC,0.05558440934370029
2012-05-01,PLS,0.04746778434471568
2012-05-01,Mean,0.020253270900147467
2012-05-01,Median,0.002456331602522645
2012-05-01,Trimmed mean,0.012640360132424354
2012-05-01,DMSPE(1),0.02317192191357862
2012-05-01,DMSPE(0.9),0.024658410335006018
2012-06-01,Elastic Net,0.10228050561068783
2012-06-01,Lasso,0.10416977085347301
2012-06-01,Ridge,0.06827976139919983
2012-06-01,PC,0.04815589611825213
2012-06-01,PLS,0.038267020498506076
2012-06-01,Mean,0.01909002925390557
2012-06-01,Median,0.0018205384436530993
2012-06-01,Trimmed mean,0.011575780703590343
2012-06-01,DMSPE(1),0.021927028591396277
2012-06-01,DMSPE(0.9),0.023394384642837062
2012-07-01,Elastic Net,0.10468131882647458
2012-07-01,Lasso,0.1063257165359273
2012-07-01,Ridge,0.07019033012602058
2012-07-01,PC,0.04737667956366544
2012-07-01,PLS,0.033672812105529415
2012-07-01,Mean,0.018480977207504967
2012-07-01,Median,0.0013270352380836947
2012-07-01,Trimmed mean,0.010929405492661748
2012-07-01,DMSPE(1),0.02135700370003575
2012-07-01,DMSPE(0.9),0.022802841512258722
2012-08-01,Elastic Net,0.10367454286036462
2012-08-01,Lasso,0.10530373253374162
2012-08-01,Ridge,0.0690357016364648
2012-08-01,PC,0.04556033008513599
2012-08-01,PLS,0.03370901855332567
2012-08-01,Mean,0.018487276324446963
2012-08-01,Median,0.0013408890132822796
2012-08-01,Trimmed mean,0.010938807895290453
2012-08-01,DMSPE(1),0.02135585597040427
2012-08-01,DMSPE(0.9),0.022805209212828265
2012-09-01,Elastic Net,0.10377781946462257
2012-09-01,Lasso,0.10541832974701039
2012-09-01,Ridge,0.06867464397864724
2012-09-01,PC,0.04657101860637097
2012-09-01,PLS,0.03659357506821868
2012-09-01,Mean,0.01902843396013157
