date,r,tbill,long_yield,inflation,svar,epu,kilian,oil_prod_growth,oil_stock_growth,oil_import_growth,m2_growth,ip_crude_growth,unrate_change,cfnai,capacity_util,MA_1_9,MA_1_12,MA_2_9,MA_2_12,MA_3_9,MA_3_12,MOM_1,MOM_2,MOM_3,MOM_6,MOM_9,MOM_12,OBV_1_9,OBV_1_12,OBV_2_9,OBV_2_12,OBV_3_9,OBV_3_12
2003-05-01,0.08574059224158237,1.07,3.57,-0.00381367937024545,0.0022249160276529,135.62755,29.487603,-0.01335781853254758,0.03416963891038627,0.0733334627666764,0.00630209578641327,-0.01347084141382293,0.09999999999999964,-0.63,73.2311,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1
2003-06-01,-1.5269346839374975e-5,0.92,3.33,-0.00163889684321016,0.00198950020378658,102.61982,37.599075,-0.01106341954425538,-0.0202885110843578,0.02241018041678089,0.01007522759348411,-0.01094390924730426,0.09999999999999964,0.01,73.2797,0,1,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1
2003-07-01,0.02164668667295499,0.9,3.98,0.0010928962836445,0.0020384610142683,95.82729,33.30546,-7.065889712816187e-4,-0.00325898305870531,-0.01139133708634432,0.00616672102567861,-7.787486350041561e-4,0.20000000000000015,0.14,73.6297,0,1,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1
2003-08-01,-0.1122389595449622,0.95,4.45,0.00327154054061562,9.71144754024258e-4,91.74151,35.733426,-0.02886280841733146,0.00115185538690809,-3.9856517068059816e-4,0.00778343195732844,-0.02879218486884749,-0.09999999999999964,0.09,73.9182,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
2003-09-01,0.07033295598295064,0.94,4.27,0.00434547125950146,0.00187252989975058,95.67182,39.664974,0.01372853931670192,-0.01923105525228052,-0.001096874019332,0.00954252811271771,0.01360921779022472,-0.10000000000000052,-0.15,73.6423,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1
2003-10-01,0.02452165030391384,0.92,4.29,0.00324675609887048,0.00139618982051384,106.11577,46.965128,0.00625952146644337,0.02529848723735028,0.02599851010616305,-0.004496676103523,0.00630115267518238,0,0.35,74.3034,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1
2003-11-01,0.02956180524905649,0.93,4.3,-0.00108108118637328,9.145355918729328e-4,88.04379,99.725996,8.910274134912299e-4,0.02748495734904388,-0.02201563119769645,-0.00159674758404371,8.123727986619755e-4,-0.09999999999999964,0.14,74.3747,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1
2003-12-01,0.0613432881825382,0.9,4.27,5.406866852455394e-4,8.877657705819194e-4,84.91824,101.9074,-0.01200623686659341,-0.04660923138967909,-0.07338204149788652,9.056852951214722e-4,-0.01200058015431615,-0.20000000000000015,0.48,75.074700000000007,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
2004-01-01,0.00886983117116591,0.88,4.15,0.00269905696916517,9.7788089255517e-4,91.73699,109.91387,0.00431732996558054,-0.04491202895630586,0.03499174962250251,-2.798515159039283e-4,0.00447721103680187,-0.09999999999999964,0.04,75.0148,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
2004-02-01,0.05527443607295401,0.93,4.08,0.00430339556005332,6.075145592608308e-4,96.56646,122.27162,0.00250986148248522,0.01010589916338844,-0.03541960287536483,0.0013655922292628,0.00241464745438868,0,0.05,74.9678,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
