date,wti_return,rac_return,tbill,long_yield,inflation,svar,epu,kilian,oil_prod_growth,oil_stock_growth,oil_import_growth,m2_growth,ip_crude_growth,unrate_change,cfnai,capacity_util,r,r_rac
2005-01-01,0.08257690571491816,0.09804420718202556,2.33,4.22,0,8.241084852875591e-4,77.59643,126.65087,0.01591545530589933,-0.008700721637621811,-0.013471859188344482,0.0028369255551261574,0.015905163157265534,0,0.85,78.0452,0.023416926819772144,0.05174851214206333
2005-02-01,0.023416926819772144,0.05174851214206333,2.54,4.17,-5.217845148388633e-4,8.353657830269884e-4,73.91848,106.50273,-0.01168322891325424,0.0011192686748451308,-0.010349380862002988,9.801405652698492e-4,-0.011682070445388604,-0.10000000000000053,0.19,78.435,0.1145436001310256,0.1372680472901293
2005-03-01,0.1145436001310256,0.1372680472901293,2.74,4.5,0.004166672694846163,8.60245208547e-4,58.95005,106.91739,0.01004849964175314,0.05468872104330913,0.02196368464502818,0.001258770766922268,0.010092511217536959,0.10000000000000053,0.4,79.0327,-0.025684286712580384,-0.013654248502509514
2005-04-01,-0.025684286712580384,-0.013654248502509514,2.78,4.34,0.0036316512028626846,0.0018263408525341558,57.55796,109.89214,0.018015259334372757,0.056986477855980766,0.0022481804102856273,0.0014588121030243428,0.017944491200869273,-0.20000000000000018,-0.28,78.5127,-0.06078087598013715,-0.046077287602852124
2005-05-01,-0.06078087598013715,-0.046077287602852124,2.84,4.14,0.0031023809784818113,8.569424942709729e-4,74.56597,106.57834,-0.006807622134537894,0.05406442398117761,-0.0017590154051791984,0.002091386576498877,-0.006791191884112813,0,0.57,78.6962,0.12244863262199868,0.1313929366821811
2005-06-01,0.12244863262199868,0.1313929366821811,2.97,4,-5.163955704734491e-4,5.421203306840812e-4,70.50812,85.61821,0.005914525710078777,-0.004324738596819699,0.02014010754911766,0.0026582607147069837,-0.010093879007909479,-0.10000000000000053,-0.02,78.7294,0.03977916731936926,0.06262742350969575
2005-07-01,0.03977916731936926,0.06262742350969575,3.22,4.18,5.163955704734491e-4,6.480487702039793e-4,74.56133,56.920077,-0.027905416442180808,-0.024835035373200753,0.03142212563203017,0.005034381375150332,-0.011812120116721836,-0.09999999999999964,0.41,78.7768,0.09055784131175226,0.09946861741345803
2005-08-01,0.09055784131175226,0.09946861741345803,3.44,4.26,0.006176036100564275,6.976615128572561e-4,68.71645,35.096648,-0.035347298389229564,-0.029479610439430814,-0.03670831219318593,0.00487163167042759,-0.035306257581654954,0,-0.05,78.3186,-0.004484727620786444,-0.011631311543778278
2005-09-01,-0.004484727620786444,-0.011631311543778278,3.42,4.2,0.006138126688785661,6.580678963460677e-4,64.39586,34.062703,-0.01052540575252614,-0.02797249329498719,0.0025985289632632913,0.005000086637855006,-0.010558152603359794,-0.09999999999999964,0.21,78.5603,-0.05361199713985876,-0.06252596525525345
2005-10-01,-0.05361199713985876,-0.06252596525525345,3.71,4.46,0.013674561020173392,0.001815298179650155,91.40605,56.803706,-0.20986162083730164,-0.010633959388906433,-0.12789016945992948,0.005126505190945707,-0.21033241602729147,0.09999999999999964,-0.62,77.48,-0.06033881994741419,-0.0964956412848279
2005-11-01,-0.06033881994741419,-0.0964956412848279,3.88,4.54,0.0015079168476770377,5.379740103676392e-4,76.16369,68.804236,0.07781321532992358,0.05028737308464848,0.03107944109679117,0.005100358121586268,0.07789771234021448,0,0.65,78.4707,0.018517474667247402,0.017457297138455452
2005-12-01,0.018517474667247402,0.017457297138455452,3.89,4.47,-0.005035257365645585,4.322495453012895e-4,72.21598,61.407375,0.0641954326516867,9.401427661543948e-4,0.08306813329650709,0.0025254436704624794,0.06431200664536041,0,0.75,79.0556,0.09139562334806817,0.08775012950639693
2006-01-01,0.09139562334806817,0.08775012950639693,4.24,4.42,0,9.756606223151886e-4,78.04893,50.104413,0.026614064454182795,0.003903141547953126,-0.02626273954706626,0.004060386894789048,0.026705527414464747,-0.09999999999999964,0.33,79.0069,-0.06125032456479884,-0.05665996511198301
2006-02-01,-0.06125032456479884,-0.05665996511198301,4.43,4.57,0.006039273514243604,6.486679157661869e-4,79.17535,35.741454,0.011957097421122498,-0.0012086237227038055,-0.023278047333239016,0.006305031358218471,0.011922391955031753,-0.20000000000000018,0.48,79.4643,0.01554979741769369,0.04493915040033958
2006-03-01,0.01554979741769369,0.04493915040033958,4.51,4.72,5.016303089888652e-4,5.419541937443869e-4,72.69299,43.597132,-0.0031746058407726707,0.05790182681980838,0.021976680714820063,0.0036485564916812763,-0.0031277304894752334,0.09999999999999964,0.1,79.0794,0.0972661096856946,0.1157767795588418
2006-04-01,0.0972661096856946,0.1157767795588418,4.6,4.99,0.001503382894031624,5.875260988619619e-4,64.22933,49.76304,-9.941346877013757e-4,4.552564690030181e-4,-0.02361636134453171,0.002159125358161873,-9.23099894329038e-4,-0.09999999999999964,0.23,78.8769,0.01697566571908471,0.028247745760687337
2006-05-01,0.01697566571908471,0.028247745760687337,4.72,5.11,0.004995015380522716,0.0013604757422847856,79.76153,44.137219,0.010881500187533533,0.014249889519977188,0.011117458583148832,0.005539119361293032,0.010796661090835435,0,-0.09,79.0167,-9.291845823438116e-4,-0.011842678569990994
2006-06-01,-9.291845823438116e-4,-0.011842678569990994,4.79,5.11,0.0029850768434540598,0.0020888012884818,70.83626,43.068443,0.013485985685475654,-0.020416344277983,0.04405037137002665,9.98487667937198e-4,0.013474790152724125,-0.10000000000000053,0.02,78.699700000000007,0.042178798890857294,0.05832805837224386
2006-07-01,0.042178798890857294,0.05832805837224386,4.95,5.09,0.002480775273762781,0.001441647209408263,79.49433,53.695434,0.002326935314064471,-0.011515251916200953,0.038929493425939654,0.0055761002114653735,0.0023832721266838774,0,0.03,78.8103,-0.023008979079311764,-0.027336724335969453
2006-08-01,-0.023008979079311764,-0.027336724335969453,4.96,4.88,0.0054361389122599135,4.614794471645709e-4,80.56231,64.843523,-0.013454429340246321,-0.015535740035389267,-0.046137784914000335,0.006082053465625847,-0.013385536579689106,0.10000000000000053,-0.28,78.4505,-0.1303351968643729,-0.14340484766717143
2006-09-01,-0.1303351968643729,-0.14340484766717143,4.81,4.72,0.004425873956855675,5.168463296254056e-4,72.76996,83.535263,-0.010657294473988443,0.003934411565364115,0.03222517096001454,0.0045590474589332075,-0.010740138595680904,0,0.18,78.9204,-0.07563414699602822,-0.07906288647493342
2006-10-01,-0.07563414699602822,-0.07906288647493342,4.92,4.73,-0.004918849071596121,4.4788425931738377e-4,67.06754,93.312725,-0.0017873105740964235,-3.936469638592399e-4,0.013725890024771203,0.003934431304834618,-0.001754777757145387,-0.20000000000000018,0,78.8536,0.002725988624286746,-4.9517208241312e-4
2006-11-01,0.002725988624286746,-4.9517208241312e-4,4.94,4.6,-0.0044477463982364185,5.912602966092849e-4,63.46447,93.651959,0.015189166661111031,0.019627584043250934,-0.058048577589939754,0.0070660530059605264,0.015250896570504935,-0.09999999999999964,-0.27,78.3077,0.042165786700354424,0.03674135514011789
2006-12-01,0.042165786700354424,0.03674135514011789,4.85,4.56,4.9517208241312e-4,3.5608573565006215e-4,62.51985,97.712692,-0.00865125332841643,-0.014291999909625375,-0.021807406154382036,0.005057387069605568,-0.008647482983775046,0.09999999999999964,-0.11,78.2181,-0.1297627505287111,-0.1050596758963187
2007-01-01,-0.1297627505287111,-0.1050596758963187,4.98,4.76,0.00543077118513402,4.507947742393133e-4,63.37041,100.76194,0.02380600227459695,-0.06874946741577581,-0.03425732302309825,0.006077668116912349,0.023781184797996513,-0.09999999999999964,0.77,79.2287,0.0800169607781025,0.0774590296555644
2007-02-01,0.0800169607781025,0.0774590296555644,5.03,4.72,0.0016579060562325054,0.0015193144413313778,79.01967,103.62781,-0.015154748946180518,0.038549114132885975,0.06640099288116375,0.005380900970601843,-0.015208830885084623,0.1999999999999993,-0.48,78.7671,0.014192508923507319,0.04096980095174052
2007-03-01,0.014192508923507319,0.04096980095174052,4.94,4.56,0.0038708491335395223,0.0015884608967137363,57.20262,101.96318,0.001955799567305405,-0.021731962007907057,-0.12524149290409703,0.002245205326923738,0.0019679838368213964,-0.09999999999999964,0.2,78.8272,0.05392322763483515,0.06794826831227674
