date,Model,CSPE
2009-04-01,Boosting 300,0.1366617130788624
2009-04-01,Boosting CV,0.13839285156832884
2009-05-01,Screening 1,0.09980749597545407
2009-05-01,Screening 2,0.13249468517089083
2009-05-01,Screening 3,0.13946097156020584
2009-05-01,Screening 4,0.12797554365397698
2009-05-01,Screening 5,0.12970830963949936
2009-05-01,Screening 6,0.15483111289986057
2009-05-01,Screening 7,0.15910951150603056
2009-05-01,Screening 8,0.13940169609009703
2009-05-01,Screening 9,0.13971883973789603
2009-05-01,Screening 10,0.15165530393955956
2009-05-01,Screening 11,0.1396169459295129
2009-05-01,Screening 12,0.11698785629813646
2009-05-01,Screening 13,0.12081284048805477
2009-05-01,Screening 14,0.13621334404719226
2009-05-01,Screening 15,0.16198426121103185
2009-05-01,Screening CV,0.13680436766987197
2009-05-01,Boosting 1,0.018623728855139996
2009-05-01,Boosting 5,0.09840939944747375
2009-05-01,Boosting 10,0.14455275291796507
2009-05-01,Boosting 25,0.14885001710501772
2009-05-01,Boosting 50,0.14082339237737182
2009-05-01,Boosting 100,0.1478366968585334
2009-05-01,Boosting 200,0.1552551587588189
2009-05-01,Boosting 300,0.15395498766158044
2009-05-01,Boosting CV,0.15166501841403648
2009-06-01,Screening 1,0.09900168245369721
2009-06-01,Screening 2,0.12480687645741724
2009-06-01,Screening 3,0.13119557082452402
2009-06-01,Screening 4,0.11977865311091035
2009-06-01,Screening 5,0.12140780822757617
2009-06-01,Screening 6,0.14673133843028432
2009-06-01,Screening 7,0.15139774131476402
2009-06-01,Screening 8,0.13171046574470927
2009-06-01,Screening 9,0.12254853077359906
2009-06-01,Screening 10,0.13468194991950835
2009-06-01,Screening 11,0.1203621223192662
2009-06-01,Screening 12,0.0971527709592187
2009-06-01,Screening 13,0.10088185213554074
2009-06-01,Screening 14,0.11688394792568349
2009-06-01,Screening 15,0.14688211013609334
2009-06-01,Screening CV,0.11983101364982077
2009-06-01,Boosting 1,0.018544855308132824
2009-06-01,Boosting 5,0.09684423348029646
2009-06-01,Boosting 10,0.14126542886921428
2009-06-01,Boosting 25,0.14107740157444645
2009-06-01,Boosting 50,0.12834323378760712
2009-06-01,Boosting 100,0.12863989781358867
2009-06-01,Boosting 200,0.13157560452702766
2009-06-01,Boosting 300,0.12783716338050002
2009-06-01,Boosting CV,0.13997512575688706
2009-07-01,Screening 1,0.09950847636702935
2009-07-01,Screening 2,0.11618643019990858
2009-07-01,Screening 3,0.12567844866661287
2009-07-01,Screening 4,0.11405427631611119
2009-07-01,Screening 5,0.11578139139472299
2009-07-01,Screening 6,0.1349805343400119
2009-07-01,Screening 7,0.145722444528637
2009-07-01,Screening 8,0.1277794251453027
2009-07-01,Screening 9,0.12019674604058934
2009-07-01,Screening 10,0.13275185489707778
2009-07-01,Screening 11,0.11840723336303481
2009-07-01,Screening 12,0.09511733756527901
2009-07-01,Screening 13,0.0990182007272603
2009-07-01,Screening 14,0.1161797075064826
2009-07-01,Screening 15,0.14670358626312094
2009-07-01,Screening CV,0.1179009186273902
2009-07-01,Boosting 1,0.018596250202598922
2009-07-01,Boosting 5,0.09521758071551518
2009-07-01,Boosting 10,0.13759022602223744
2009-07-01,Boosting 25,0.1356704365401222
2009-07-01,Boosting 50,0.12477909486614262
2009-07-01,Boosting 100,0.12625084642611345
2009-07-01,Boosting 200,0.13055528340534073
2009-07-01,Boosting 300,0.12790129485964333
2009-07-01,Boosting CV,0.13767145605262482
2009-08-01,Screening 1,0.09856540186191573
2009-08-01,Screening 2,0.11194156142892897
2009-08-01,Screening 3,0.12105300546657122
2009-08-01,Screening 4,0.1094472334346388
2009-08-01,Screening 5,0.11111503710095079
2009-08-01,Screening 6,0.1303559827986937
2009-08-01,Screening 7,0.14112332856312565
2009-08-01,Screening 8,0.12337481653934734
2009-08-01,Screening 9,0.11595815412068726
2009-08-01,Screening 10,0.12851356484999557
2009-08-01,Screening 11,0.11201850545113785
2009-08-01,Screening 12,0.0886041341623084
2009-08-01,Screening 13,0.09163059553894333
2009-08-01,Screening 14,0.10883672180291552
2009-08-01,Screening 15,0.13875295056469186
2009-08-01,Screening CV,0.11366262858030801
2009-08-01,Boosting 1,0.018514629407291185
2009-08-01,Boosting 5,0.0944564048752662
2009-08-01,Boosting 10,0.13598025791290408
2009-08-01,Boosting 25,0.13224630386810216
2009-08-01,Boosting 50,0.11824417299755031
2009-08-01,Boosting 100,0.11664404781638574
2009-08-01,Boosting 200,0.11778282084806677
2009-08-01,Boosting 300,0.11352328265089451
2009-08-01,Boosting CV,0.1276986788371518
2009-09-01,Screening 1,0.100401841069011
2009-09-01,Screening 2,0.11640597059704856
2009-09-01,Screening 3,0.12568421098448718
2009-09-01,Screening 4,0.11406494175407761
2009-09-01,Screening 5,0.11575359397542927
2009-09-01,Screening 6,0.13497935873076383
2009-09-01,Screening 7,0.14568063130617298
2009-09-01,Screening 8,0.12784772561077107
2009-09-01,Screening 9,0.12070296265770072
2009-09-01,Screening 10,0.13403345948224987
2009-09-01,Screening 11,0.11753828944957885
2009-09-01,Screening 12,0.09410115812584227
2009-09-01,Screening 13,0.09705490428534967
2009-09-01,Screening 14,0.11424629342988617
2009-09-01,Screening 15,0.1443357798306089
2009-09-01,Screening CV,0.1191825232125623
2009-09-01,Boosting 1,0.01871410237961793
2009-09-01,Boosting 5,0.0958722320524923
2009-09-01,Boosting 10,0.13832059979888048
2009-09-01,Boosting 25,0.13596466726026152
2009-09-01,Boosting 50,0.12313854201770245
2009-09-01,Boosting 100,0.12211686782110438
2009-09-01,Boosting 200,0.12343672988621895
2009-09-01,Boosting 300,0.11923225715866119
2009-09-01,Boosting CV,0.13309898768541212
2009-10-01,Screening 1,0.10045147334331013
2009-10-01,Screening 2,0.11654359895804832
2009-10-01,Screening 3,0.12574611528434645
2009-10-01,Screening 4,0.11413240787511912
2009-10-01,Screening 5,0.11580809703844892
2009-10-01,Screening 6,0.13505056597956894
2009-10-01,Screening 7,0.14576925171536007
2009-10-01,Screening 8,0.12797048575899203
2009-10-01,Screening 9,0.12082732191123101
2009-10-01,Screening 10,0.1339032895009853
2009-10-01,Screening 11,0.11668323157477693
2009-10-01,Screening 12,0.09319417144720937
2009-10-01,Screening 13,0.09613902503809518
2009-10-01,Screening 14,0.11381924068756401
2009-10-01,Screening 15,0.14368728332239653
2009-10-01,Screening CV,0.1190523532312977
2009-10-01,Boosting 1,0.01871926879078308
2009-10-01,Boosting 5,0.0960627844598974
2009-10-01,Boosting 10,0.13860926035369028
2009-10-01,Boosting 25,0.13623434207241236
2009-10-01,Boosting 50,0.12324465340377848
2009-10-01,Boosting 100,0.12204180729892125
2009-10-01,Boosting 200,0.12315953799214775
2009-10-01,Boosting 300,0.11884386723360316
2009-10-01,Boosting CV,0.1330181946537489
2009-11-01,Screening 1,0.09886804971320932
2009-11-01,Screening 2,0.11066353623423615
2009-11-01,Screening 3,0.11941777041282219
2009-11-01,Screening 4,0.10783829930940687
2009-11-01,Screening 5,0.10945383719491386
2009-11-01,Screening 6,0.128739595814725
2009-11-01,Screening 7,0.13947977029190403
2009-11-01,Screening 8,0.12196314444672764
2009-11-01,Screening 9,0.11483979031841574
2009-11-01,Screening 10,0.1262709894407922
2009-11-01,Screening 11,0.10910400330861725
2009-11-01,Screening 12,0.08552958421188894
2009-11-01,Screening 13,0.08662733154956404
2009-11-01,Screening 14,0.10650766095248428
2009-11-01,Screening 15,0.13592297137166082
2009-11-01,Screening CV,0.11142005317110464
2009-11-01,Boosting 1,0.018575519409614674
