model,variable,frequency
Screening_13,MOM_9,0.1951219512195122
Screening_13,MOM_12,0.11382113821138211
Screening_13,oil_stock_growth,0.0975609756097561
Screening_13,tbill,0.056910569105691054
Screening_13,kilian,0.04878048780487805
Screening_13,capacity_util,0.024390243902439025
Screening_13,OBV_2_9,0.024390243902439025
Screening_13,OBV_3_9,0.024390243902439025
Screening_13,long_yield,0
Screening_13,MA_2_12,0
Screening_13,MA_3_9,0
Screening_13,MA_3_12,0
Screening_13,OBV_3_12,0
Screening_14,svar,1
Screening_14,MOM_1,1
Screening_14,MOM_2,1
Screening_14,MOM_6,1
Screening_14,MOM_3,0.991869918699187
Screening_14,m2_growth,0.8292682926829268
Screening_14,cfnai,0.8292682926829268
Screening_14,unrate_change,0.8211382113821138
Screening_14,MA_2_9,0.7967479674796748
Screening_14,OBV_2_12,0.7967479674796748
Screening_14,OBV_1_9,0.7886178861788617
Screening_14,ip_crude_growth,0.7642276422764228
Screening_14,oil_prod_growth,0.6747967479674797
Screening_14,MA_1_9,0.5284552845528455
Screening_14,OBV_1_12,0.3821138211382114
Screening_14,epu,0.34146341463414637
Screening_14,MA_1_12,0.2601626016260163
Screening_14,inflation,0.21951219512195122
Screening_14,oil_import_growth,0.21138211382113822
Screening_14,MOM_9,0.1951219512195122
Screening_14,oil_stock_growth,0.13008130081300814
Screening_14,MOM_12,0.11382113821138211
Screening_14,kilian,0.0975609756097561
Screening_14,tbill,0.06504065040650407
Screening_14,MA_2_12,0.04065040650406504
Screening_14,OBV_3_9,0.04065040650406504
Screening_14,OBV_2_9,0.032520325203252036
Screening_14,capacity_util,0.024390243902439025
Screening_14,OBV_3_12,0.024390243902439025
Screening_14,long_yield,0
Screening_14,MA_3_9,0
Screening_14,MA_3_12,0
Screening_15,svar,1
Screening_15,MOM_1,1
Screening_15,MOM_2,1
Screening_15,MOM_3,1
Screening_15,MOM_6,1
Screening_15,unrate_change,0.8699186991869918
Screening_15,m2_growth,0.8617886178861789
Screening_15,cfnai,0.8455284552845529
Screening_15,OBV_2_12,0.8048780487804879
Screening_15,MA_2_9,0.7967479674796748
Screening_15,OBV_1_9,0.7967479674796748
Screening_15,ip_crude_growth,0.7886178861788617
Screening_15,oil_prod_growth,0.7479674796747967
Screening_15,OBV_1_12,0.6991869918699187
Screening_15,MA_1_9,0.6016260162601627
Screening_15,epu,0.44715447154471544
Screening_15,MA_1_12,0.2682926829268293
Screening_15,inflation,0.21951219512195122
Screening_15,oil_import_growth,0.21138211382113822
Screening_15,MOM_9,0.2032520325203252
Screening_15,OBV_2_9,0.18699186991869918
Screening_15,oil_stock_growth,0.16260162601626016
Screening_15,MOM_12,0.12195121951219512
Screening_15,kilian,0.0975609756097561
Screening_15,tbill,0.07317073170731707
Screening_15,MA_2_12,0.056910569105691054
Screening_15,OBV_3_9,0.056910569105691054
Screening_15,OBV_3_12,0.04878048780487805
Screening_15,capacity_util,0.032520325203252036
Screening_15,long_yield,0
Screening_15,MA_3_9,0
Screening_15,MA_3_12,0
